Instance Family,Instance Type,Processor Arch,vCPU,Memory (GiB),Instance Storage (GB),EBS-optimized Available,Network Performance
General purpose,m1.small,32-bit or 64-bit,1,1.7,1 x 160,-,Low
General purpose,m1.medium,32-bit or 64-bit,1,3.75,1 x 410,-,Moderate
General purpose,m1.large,64-bit,2,7.5,2 x 420,Yes,Moderate
General purpose,m1.xlarge,64-bit,4,15,4 x 420,Yes,High
Compute optimized,c1.medium,32-bit or 64-bit,2,1.7,1 x 350,-,Moderate
Compute optimized,c1.xlarge,64-bit,8,7,4 x 420,Yes,High
Compute optimized,cc2.8xlarge,64-bit,32,60.5,4 x 840,-,10 Gigabit
GPU instances,cg1.4xlarge,64-bit,16,22.5,2 x 840,-,10 Gigabit
Memory optimized,m2.xlarge,64-bit,2,17.1,1 x 420,-,Moderate
Memory optimized,m2.2xlarge,64-bit,4,34.2,1 x 850,Yes,Moderate
Memory optimized,m2.4xlarge,64-bit,8,68.4,2 x 840,Yes,High
Memory optimized,cr1.8xlarge,64-bit,32,244,2 x 120 SSD,-,10 Gigabit
Storage optimized,i2.xlarge,64-bit,4,30.5,1 x 800,Yes,Moderate
Storage optimized,i2.2xlarge,64-bit,8,61,2 x 800,Yes,Moderate
Storage optimized,i2.4xlarge,64-bit,16,122,4 x 800,Yes,High
Storage optimized,i2.8xlarge,64-bit,32,244,8 x 800,Yes,10 Gigabit
Storage optimized,hi1.4xlarge,64-bit,16,60.5,"2 x 1,024 SSD",-,10 Gigabit
Storage optimized,hs1.8xlarge,64-bit,16,117,"24 x 2,000",-,10 Gigabit
Micro,t1.micro,32-bit or 64-bit,1,0.613,EBS Only,-,Very Low